,year,sex,offence_division,offence_subdivision,victims,total_victims
0,2024,Females,A Crimes against the person,A10 Homicide and related offences,76,226
1,2024,Females,A Crimes against the person,A20 Assault and related offences,24744,49162
2,2024,Females,A Crimes against the person,A30 Sexual offences,9483,11220
3,2024,Females,A Crimes against the person,A40 Abduction and related offences,328,563
4,2024,Females,A Crimes against the person,A50 Robbery,579,3213
5,2024,Females,A Crimes against the person,A60 Blackmail and extortion,70,341
6,2024,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5362,8183
7,2024,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1060,2529
8,2024,Males,A Crimes against the person,A10 Homicide and related offences,150,226
9,2024,Males,A Crimes against the person,A20 Assault and related offences,24418,49162
10,2024,Males,A Crimes against the person,A30 Sexual offences,1737,11220
11,2024,Males,A Crimes against the person,A40 Abduction and related offences,235,563
12,2024,Males,A Crimes against the person,A50 Robbery,2634,3213
13,2024,Males,A Crimes against the person,A60 Blackmail and extortion,271,341
14,2024,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2821,8183
15,2024,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1469,2529
16,2023,Females,A Crimes against the person,A10 Homicide and related offences,80,211
17,2023,Females,A Crimes against the person,A20 Assault and related offences,22384,44545
18,2023,Females,A Crimes against the person,A30 Sexual offences,7913,9453
19,2023,Females,A Crimes against the person,A40 Abduction and related offences,289,429
20,2023,Females,A Crimes against the person,A50 Robbery,563,2898
21,2023,Females,A Crimes against the person,A60 Blackmail and extortion,64,515
22,2023,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4835,7349
23,2023,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1072,2398
24,2023,Males,A Crimes against the person,A10 Homicide and related offences,131,211
25,2023,Males,A Crimes against the person,A20 Assault and related offences,22161,44545
26,2023,Males,A Crimes against the person,A30 Sexual offences,1540,9453
27,2023,Males,A Crimes against the person,A40 Abduction and related offences,140,429
28,2023,Males,A Crimes against the person,A50 Robbery,2335,2898
29,2023,Males,A Crimes against the person,A60 Blackmail and extortion,451,515
30,2023,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2514,7349
31,2023,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1326,2398
32,2022,Females,A Crimes against the person,A10 Homicide and related offences,59,180
33,2022,Females,A Crimes against the person,A20 Assault and related offences,22545,44741
34,2022,Females,A Crimes against the person,A30 Sexual offences,7942,9311
35,2022,Females,A Crimes against the person,A40 Abduction and related offences,311,494
36,2022,Females,A Crimes against the person,A50 Robbery,408,2250
37,2022,Females,A Crimes against the person,A60 Blackmail and extortion,56,440
38,2022,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4947,7448
39,2022,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1096,2230
40,2022,Males,A Crimes against the person,A10 Homicide and related offences,121,180
41,2022,Males,A Crimes against the person,A20 Assault and related offences,22196,44741
42,2022,Males,A Crimes against the person,A30 Sexual offences,1369,9311
43,2022,Males,A Crimes against the person,A40 Abduction and related offences,183,494
44,2022,Males,A Crimes against the person,A50 Robbery,1842,2250
45,2022,Males,A Crimes against the person,A60 Blackmail and extortion,384,440
46,2022,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2501,7448
47,2022,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1134,2230
48,2021,Females,A Crimes against the person,A10 Homicide and related offences,63,172
49,2021,Females,A Crimes against the person,A20 Assault and related offences,21954,43226
50,2021,Females,A Crimes against the person,A30 Sexual offences,7989,9201
51,2021,Females,A Crimes against the person,A40 Abduction and related offences,338,492
52,2021,Females,A Crimes against the person,A50 Robbery,469,2357
53,2021,Females,A Crimes against the person,A60 Blackmail and extortion,40,183
54,2021,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4955,7547
55,2021,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1020,2139
56,2021,Males,A Crimes against the person,A10 Homicide and related offences,109,172
57,2021,Males,A Crimes against the person,A20 Assault and related offences,21272,43226
58,2021,Males,A Crimes against the person,A30 Sexual offences,1212,9201
59,2021,Males,A Crimes against the person,A40 Abduction and related offences,154,492
60,2021,Males,A Crimes against the person,A50 Robbery,1888,2357
61,2021,Males,A Crimes against the person,A60 Blackmail and extortion,143,183
62,2021,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2592,7547
63,2021,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1119,2139
64,2020,Females,A Crimes against the person,A10 Homicide and related offences,69,197
65,2020,Females,A Crimes against the person,A20 Assault and related offences,22108,43109
66,2020,Females,A Crimes against the person,A30 Sexual offences,7339,8642
67,2020,Females,A Crimes against the person,A40 Abduction and related offences,348,514
68,2020,Females,A Crimes against the person,A50 Robbery,500,2721
69,2020,Females,A Crimes against the person,A60 Blackmail and extortion,44,158
70,2020,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5183,7905
71,2020,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,998,2151
72,2020,Males,A Crimes against the person,A10 Homicide and related offences,128,197
73,2020,Males,A Crimes against the person,A20 Assault and related offences,21001,43109
